GameDate,HomeTeamName,HomeTeamScore,AwayTeamName,AwayTeamScore
11/15/2010,Tennessee State,85,Fisk,50
11/15/2010,Texas A&M-Corpus Christi,65,Texas A&M,86
11/15/2010,UCLA,79,Pepperdine,69
11/15/2010,Virginia,74,USC Upstate,54
11/15/2010,VCU,67,Winthrop,54
11/15/2010,Wake Forest,63,Hampton,56
11/15/2010,Western Kentucky,83,Alabama A&M,61
11/16/2010,Appalachian State,101,Montreat,71
11/16/2010,Baylor,74,La Salle,64
11/16/2010,Bethune-Cookman,78,Stetson,66
11/16/2010,Bradley,66,Northern Illinois,63
11/16/2010,California,80,Cal State Northridge,63
11/16/2010,Central Arkansas,71,UMKC,73
11/16/2010,Charleston Southern,68,Citadel,61
11/16/2010,College of Charleston,83,Coastal Carolina,67
11/16/2010,Dartmouth,53,New Hampshire,55
11/16/2010,Dayton,76,Akron,68
11/16/2010,DePaul,64,Western Carolina,69
11/16/2010,Duke,79,Miami (OH),45
11/16/2010,Florida,75,Ohio State,93
11/16/2010,Florida Gulf Coast,89,Southeast Missouri State,78
11/16/2010,Florida State,78,Gardner-Webb,53
11/16/2010,Furman,69,UNC Asheville,67
11/16/2010,George Washington,67,Boston University,76
11/16/2010,Georgia,83,Colorado,74
11/16/2010,Gonzaga,76,San Diego State,79
11/16/2010,Hawaii,65,Central Michigan,62
11/16/2010,Indiana,71,Mississippi Valley State,54
11/16/2010,Iowa,68,Louisiana-Monroe,40
11/16/2010,IUPUI,83,Indiana-Northwest,62
11/16/2010,Jacksonville,64,Savannah State,54
11/16/2010,Kansas State,73,Virginia Tech,57
11/16/2010,Kent State,62,Robert Morris,59
11/16/2010,LSU,53,Nicholls State,62
11/16/2010,Louisville,88,Butler,73
11/16/2010,McNeese State,68,Georgia State,62
11/16/2010,Michigan State,82,South Carolina,73
11/16/2010,Missouri State,80,Arkansas State,71
11/16/2010,Monmouth,49,Stony Brook,51
11/16/2010,Navy,74,Neumann,62
11/16/2010,Nevada,75,Pepperdine,76
11/16/2010,New Mexico,76,Arizona State,62
11/16/2010,Norfolk State,70,Jacksonville State,53
11/16/2010,North Carolina A&T,100,North Carolina Wesleyan,66
11/16/2010,UNC Wilmington,69,Liberty,64
11/16/2010,North Texas,92,Texas Tech,83
11/16/2010,Northern Arizona,74,Alabama State,46
11/16/2010,Northern Colorado,67,Wyoming,53
11/16/2010,Northern Iowa,84,Coe,45
11/16/2010,Penn State,66,St. Joseph's,57
11/16/2010,Prairie View,82,Arlington Baptist,58
11/16/2010,Quinnipiac,66,Hartford,64
11/16/2010,Rhode Island,92,Brown,67
11/16/2010,Sacramento State,84,Bethany (CA),55
11/16/2010,Saint Mary's,76,St. John's (NY),71
11/16/2010,South Carolina State,94,Anderson (SC),83
11/16/2010,Southern Illinois,62,Northeastern,63
11/16/2010,Syracuse,66,Detroit,55
11/16/2010,Tennessee,85,Belmont,76
11/16/2010,Texas-Arlington,96,Texas-Tyler,56
11/16/2010,TCU,84,SMU,64
11/16/2010,Texas State,67,LIU-Brooklyn,91
11/16/2010,Towson,89,Coppin State,74
11/16/2010,Tulsa,83,Oral Roberts,68
11/16/2010,UCLA,57,Pacific,44
11/16/2010,Villanova,84,Marist,47
11/16/2010,VMI,120,Virginia Wise,88
11/16/2010,Wake Forest,69,VCU,90
11/16/2010,Washington,98,Eastern Washington,72
11/16/2010,Washington State,88,Idaho,71
11/16/2010,Weber State,97,Colorado Christian,73
11/16/2010,Wichita State,79,Texas Southern,67
11/16/2010,Winthrop,44,Hampton,45
11/16/2010,Wisconsin,85,North Dakota,53
11/16/2010,Xavier,76,Fort Wayne,66
11/16/2010,Youngstown State,64,Buffalo,53
11/17/2010,Air Force,57,Colorado College,60
11/17/2010,American,65,Maryland-Eastern Shore,58
11/17/2010,Little Rock,108,St. Gregory's,58
11/17/2010,Arkansas State,60,Belmont,93
11/17/2010,Ball State,75,Indiana State,60
11/17/2010,Bradley,59,Loyola Marymount,57
11/17/2010,BYU,78,Utah State,72
11/17/2010,Bucknell,66,Binghamton,38
11/17/2010,Cal State Bakersfield,58,Southern Utah,66
11/17/2010,UC-Davis,70,UC-Santa Cruz,49
11/17/2010,Centenary (LA),70,Arkansas-Monticello,82
11/17/2010,UConn,89,Vermont,73
11/17/2010,Cornell,75,Delaware,61
11/17/2010,Creighton,63,Louisiana,58
11/17/2010,Eastern Kentucky,81,SIU-Edwardsville,65
11/17/2010,Eastern Michigan,79,Madonna,70
11/17/2010,Evansville,77,UTSA,73
11/17/2010,Florida Atlantic,88,Warner Southern,58
11/17/2010,Fresno State,74,Vanguard,42
11/17/2010,George Washington,79,Marist,59
11/17/2010,Georgia Tech,78,Albany (NY),51
11/17/2010,Harvard,72,Holy Cross,49
11/17/2010,Illinois State,73,Tennessee State,68
11/17/2010,Iowa State,91,Drake,43
11/17/2010,Kennesaw State,69,Chattanooga,73
11/17/2010,Lafayette,72,Saint Francis (PA),68
11/17/2010,Louisiana Tech,60,Houston,54
