"","TeamName","OpponentName","Line","Date"
"6909","North Florida","Kennesaw State",-120,2019-02-13
"6910","Kennesaw State","North Florida",-120,2019-02-13
"6911","Stephen F. Austin","McNeese State",-120,2019-02-13
"6912","McNeese State","Stephen F. Austin",-120,2019-02-13
"6913","Lipscomb","Liberty",-120,2019-02-13
"6914","Liberty","Lipscomb",-120,2019-02-13
"6915","Holy Cross","Colgate",-120,2019-02-13
"6916","Colgate","Holy Cross",-120,2019-02-13
"6917","Virginia Tech","Georgia Tech",-110,2019-02-13
"6918","Georgia Tech","Virginia Tech",-110,2019-02-13
"6919","North Carolina State","Syracuse",-110,2019-02-13
"6920","Syracuse","North Carolina State",-110,2019-02-13
"6921","Bradley","Loyola (IL)",-110,2019-02-13
"6922","Loyola (IL)","Bradley",-110,2019-02-13
"6923","Northern Iowa","Illinois State",-110,2019-02-13
"6924","Illinois State","Northern Iowa",-110,2019-02-13
"6925","Valparaiso","Indiana State",-110,2019-02-13
"6926","Indiana State","Valparaiso",-110,2019-02-13
"6927","Nicholls State","Abilene Christian",-120,2019-02-13
"6928","Abilene Christian","Nicholls State",-120,2019-02-13
"6929","Lamar","Northwestern State",-120,2019-02-13
"6930","Northwestern State","Lamar",-120,2019-02-13
"6931","Central Arkansas","Houston Baptist",-120,2019-02-13
"6932","Houston Baptist","Central Arkansas",-120,2019-02-13
"6933","Texas A&M-CC","Sam Houston State",-120,2019-02-13
"6934","Sam Houston State","Texas A&M-CC",-120,2019-02-13
"6935","Southeastern Louisiana","Incarnate Word",-120,2019-02-13
"6936","Incarnate Word","Southeastern Louisiana",-120,2019-02-13
"6937","Auburn","Ole Miss",-110,2019-02-13
"6938","Ole Miss","Auburn",-110,2019-02-13
"6939","Xavier","Creighton",4,2019-02-13
"6940","Creighton","Xavier",NA,2019-02-13
"6941","Seton Hall","Georgetown",-7,2019-02-13
"6942","Georgetown","Seton Hall",-4,2019-02-13
"6943","Oklahoma State","Texas Tech",4,2019-02-13
"6944","Texas Tech","Oklahoma State",7,2019-02-13
"6945","Nebraska","Minnesota",16.5,2019-02-13
"6946","Minnesota","Nebraska",-4,2019-02-13
"6947","New Mexico","San Jose State",22,2019-02-13
"6948","San Jose State","New Mexico",-16.5,2019-02-13
"6949","Utah State","Wyoming",11,2019-02-13
"6950","Wyoming","Utah State",-22,2019-02-13
"6951","Florida","Vanderbilt",-8,2019-02-13
"6952","Vanderbilt","Florida",-11,2019-02-13
"6953","California","UCLA",4,2019-02-13
"6954","UCLA","California",8,2019-02-13
"6955","UC Davis","Cal State Northridge",7.5,2019-02-13
"6956","Cal State Northridge","UC Davis",-4,2019-02-13
"6957","Cal State Fullerton","Long Beach State",2.5,2019-02-13
"6958","Long Beach State","Cal State Fullerton",-7.5,2019-02-13
"6959","Colorado","Arizona State",6.5,2019-02-13
"6960","Arizona State","Colorado",-2.5,2019-02-13
"6961","Fresno State","Boise State",1.5,2019-02-13
"6962","Boise State","Fresno State",-6.5,2019-02-13
"6963","Stanford","USC",3,2019-02-13
"6964","USC","Stanford",-1.5,2019-02-13
"6965","Pennsylvania","Dartmouth",-9,2019-02-15
"6966","Dartmouth","Pennsylvania",9,2019-02-15
"6967","Davidson","Saint Joseph's (PA)",-11,2019-02-15
"6968","Saint Joseph's (PA)","Davidson",11,2019-02-15
"6969","Columbia","Yale",9,2019-02-15
"6970","Yale","Columbia",-9,2019-02-15
"6971","Princeton","Harvard",-1,2019-02-15
"6972","Harvard","Princeton",1,2019-02-15
"6973","Georgia State","South Alabama",-8.5,2019-02-15
"6974","South Alabama","Georgia State",8.5,2019-02-15
"6975","Cornell","Brown",-110,2019-02-15
"6976","Brown","Cornell",NA,2019-02-15
"6977","Rider","Monmouth",-110,2019-02-15
"6978","Monmouth","Rider",-110,2019-02-15
"6979","Iona","St. Peter's",-110,2019-02-15
"6980","St. Peter's","Iona",-110,2019-02-15
"6981","Niagara","Manhattan",-110,2019-02-15
"6982","Manhattan","Niagara",-110,2019-02-15
"6983","Canisius","Fairfield",-110,2019-02-15
"6984","Fairfield","Canisius",-110,2019-02-15
"6985","Toledo","Buffalo",-110,2019-02-15
"6986","Buffalo","Toledo",-110,2019-02-15
"6987","Quinnipiac","Marist",-110,2019-02-15
"6988","Marist","Quinnipiac",-110,2019-02-15
"6989","Georgia Southern","Troy",-110,2019-02-15
"6990","Troy","Georgia Southern",-110,2019-02-15
"6991","Wright State","Northern Kentucky",9,2019-02-15
"6992","Northern Kentucky","Wright State",NA,2019-02-15
"6993","Pennsylvania","Dartmouth",-9,2019-02-15
"6994","Dartmouth","Pennsylvania",9,2019-02-15
"6995","Davidson","Saint Joseph's (PA)",-11,2019-02-15
"6996","Saint Joseph's (PA)","Davidson",11,2019-02-15
"6997","Columbia","Yale",9,2019-02-15
"6998","Yale","Columbia",-9,2019-02-15
"6999","Princeton","Harvard",-1,2019-02-15
"7000","Harvard","Princeton",1,2019-02-15
"7001","Georgia State","South Alabama",-8.5,2019-02-15
"7002","South Alabama","Georgia State",8.5,2019-02-15
"7003","Cornell","Brown",-110,2019-02-15
"7004","Brown","Cornell",NA,2019-02-15
"7005","Rider","Monmouth",-110,2019-02-15
"7006","Monmouth","Rider",-110,2019-02-15
"7007","Iona","St. Peter's",-110,2019-02-15
"7008","St. Peter's","Iona",-110,2019-02-15
"7009","Niagara","Manhattan",-110,2019-02-15
"7010","Manhattan","Niagara",-110,2019-02-15
"7011","Canisius","Fairfield",-110,2019-02-15
"7012","Fairfield","Canisius",-110,2019-02-15
"7013","Toledo","Buffalo",-110,2019-02-15
"7014","Buffalo","Toledo",-110,2019-02-15
"7015","Quinnipiac","Marist",-110,2019-02-15
"7016","Marist","Quinnipiac",-110,2019-02-15
"7017","Georgia Southern","Troy",-110,2019-02-15
"7018","Troy","Georgia Southern",-110,2019-02-15
"7019","Wright State","Northern Kentucky",9,2019-02-15
"7020","Northern Kentucky","Wright State",NA,2019-02-15
"7021","UC Irvine","UC Santa Barbara",-6.5,2019-02-17
"7022","UC Santa Barbara","UC Irvine",6.5,2019-02-17
"7023","Hawaii","UC Riverside",-12,2019-02-17
"7024","UC Riverside","Hawaii",12,2019-02-17
"7025","Michigan State","Ohio State",-12.5,2019-02-17
"7026","Ohio State","Michigan State",12.5,2019-02-17
"7027","Cincinnati","Wichita State",-12.5,2019-02-17
"7028","Wichita State","Cincinnati",12.5,2019-02-17
"7029","Maine","Albany",-1,2019-02-17
"7030","Albany","Maine",1,2019-02-17
"7031","East Carolina","Tulsa",7,2019-02-17
"7032","Tulsa","East Carolina",-7,2019-02-17
"7033","St. Bonaventure","George Mason",-2.5,2019-02-17
"7034","George Mason","St. Bonaventure",2.5,2019-02-17
"7035","Tulane","Houston",18,2019-02-17
"7036","Houston","Tulane",-18,2019-02-17
"7037","Siena","Quinnipiac",-3,2019-02-17
"7038","Quinnipiac","Siena",3,2019-02-17
"7039","St. Peter's","Rider",5,2019-02-17
"7040","Rider","St. Peter's",-5,2019-02-17
"7041","Monmouth","Marist",-3,2019-02-17
"7042","Marist","Monmouth",3,2019-02-17
"7043","Niagara","Fairfield",-2,2019-02-17
"7044","Fairfield","Niagara",2,2019-02-17
"7045","Canisius","Manhattan",-8,2019-02-17
"7046","Manhattan","Canisius",8,2019-02-17
"7047","Loyola (MD)","Lafayette",-4.5,2019-02-17
"7048","Lafayette","Loyola (MD)",4.5,2019-02-17
"7049","Creighton","Seton Hall",-4,2019-02-17
"7050","Seton Hall","Creighton",4,2019-02-17
"7051","Loyola (IL)","Missouri State",-6,2019-02-17
"7052","Missouri State","Loyola (IL)",6,2019-02-17
"7053","Evansville","Northern Iowa",-2,2019-02-17
"7054","Northern Iowa","Evansville",2,2019-02-17
"7055","St. John's","Villanova",2,2019-02-17
"7056","Villanova","St. John's",-2,2019-02-17
"7057","Boston College","Miami (FL)",-1,2019-02-17
"7058","Miami (FL)","Boston College",1,2019-02-17
"7059","Colorado","Arizona",-2.5,2019-02-17
"7060","Arizona","Colorado",2.5,2019-02-17
"7061","Virginia Tech","Virginia",4,2019-02-18
"7062","Virginia","Virginia Tech",-4,2019-02-18
"7063","Eastern Washington","Idaho",-14,2019-02-18
"7064","Idaho","Eastern Washington",14,2019-02-18
"7065","Arkansas-Pine Bluff","Alcorn State",-9.5,2019-02-18
"7066","Alcorn State","Arkansas-Pine Bluff",9.5,2019-02-18
"7067","Holy Cross","Boston University",-4.5,2019-02-18
"7068","Boston University","Holy Cross",4.5,2019-02-18
"7069","Howard","North Carolina Central",-2.5,2019-02-18
"7070","North Carolina Central","Howard",2.5,2019-02-18
"7071","South Carolina State","Florida A&M",1.5,2019-02-18
"7072","Florida A&M","South Carolina State",-1.5,2019-02-18
"7073","Savannah State","Bethune-Cookman",4.5,2019-02-18
"7074","Bethune-Cookman","Savannah State",-4.5,2019-02-18
"7075","Wisconsin","Illinois",-11.5,2019-02-18
"7076","Illinois","Wisconsin",11.5,2019-02-18
"7077","Norfolk State","North Carolina A&T",-6,2019-02-18
"7078","North Carolina A&T","Norfolk State",6,2019-02-18
"7079","Grambling State","Prairie View A&M",-2.5,2019-02-18
"7080","Prairie View A&M","Grambling State",2.5,2019-02-18
"7081","Mississippi Valley State","Southern University",-110,2019-02-18
"7082","Southern University","Mississippi Valley State",NA,2019-02-18
"7083","Jackson State","Texas Southern",-110,2019-02-18
"7084","Texas Southern","Jackson State",-110,2019-02-18
"7085","West Virginia","Kansas State",-110,2019-02-18
"7086","Kansas State","West Virginia",-110,2019-02-18
"7087","Oklahoma State","TCU",-110,2019-02-18
"7088","TCU","Oklahoma State",-110,2019-02-18
"7089","Davidson","Dayton",-3,2019-02-19
"7090","Dayton","Davidson",3,2019-02-19
"7091","Notre Dame","Wake Forest",-11,2019-02-19
"7092","Wake Forest","Notre Dame",11,2019-02-19
"7093","Penn State","Nebraska",-3,2019-02-19
"7094","Nebraska","Penn State",3,2019-02-19
"7095","Indiana","Purdue",4.5,2019-02-19
"7096","Purdue","Indiana",-4.5,2019-02-19
"7097","Central Michigan","Kent State",-3,2019-02-19
"7098","Kent State","Central Michigan",3,2019-02-19
"7099","Bowling Green","Akron",-4.5,2019-02-19
"7100","Akron","Bowling Green",4.5,2019-02-19
"7101","Buffalo","Ohio",-19.5,2019-02-19
"7102","Ohio","Buffalo",19.5,2019-02-19
"7103","Eastern Michigan","Toledo",3,2019-02-19
"7104","Toledo","Eastern Michigan",-3,2019-02-19
"7105","Miami (OH)","Ball State",-1,2019-02-19
"7106","Ball State","Miami (OH)",1,2019-02-19
"7107","Tennessee","Vanderbilt",-18.5,2019-02-19
"7108","Vanderbilt","Tennessee",18.5,2019-02-19
"7109","South Carolina","Ole Miss",1.5,2019-02-19
"7110","Ole Miss","South Carolina",-1.5,2019-02-19
"7111","Quinnipiac","Iona",-2.5,2019-02-19
"7112","Iona","Quinnipiac",2.5,2019-02-19
"7113","Siena","St. Peter's",-7.5,2019-02-19
"7114","St. Peter's","Siena",7.5,2019-02-19
"7115","Colgate","Bucknell",-3,2019-02-19
"7116","Bucknell","Colgate",3,2019-02-19
"7117","Drake","Bradley",-4,2019-02-19
"7118","Bradley","Drake",4,2019-02-19
"7119","Iowa","Maryland",-2,2019-02-19
"7120","Maryland","Iowa",2,2019-02-19
"7121","Virginia Commonwealth","Rhode Island",-10.5,2019-02-19
"7122","Rhode Island","Virginia Commonwealth",10.5,2019-02-19
"7123","Clemson","Florida State",-2,2019-02-19
"7124","Florida State","Clemson",2,2019-02-19
"7125","Iowa State","Baylor",-8,2019-02-19
"7126","Baylor","Iowa State",8,2019-02-19
"7127","Missouri","Kentucky",11,2019-02-19
"7128","Kentucky","Missouri",-11,2019-02-19
"7129","Texas A&M","Alabama",1.5,2019-02-19
"7130","Alabama","Texas A&M",-1.5,2019-02-19
"7131","Wyoming","UNLV",6,2019-02-19
"7132","UNLV","Wyoming",-6,2019-02-19
"7133","Georgetown","Villanova",5.5,2019-02-20
"7134","Villanova","Georgetown",-5.5,2019-02-20
"7135","Michigan State","Rutgers",-17,2019-02-20
"7136","Rutgers","Michigan State",17,2019-02-20
"7137","Georgia","Mississippi State",6.5,2019-02-20
"7138","Mississippi State","Georgia",-6.5,2019-02-20
"7139","LSU","Florida",-6,2019-02-20
"7140","Florida","LSU",6,2019-02-20
"7141","Indiana State","Illinois State",-1.5,2019-02-20
"7142","Illinois State","Indiana State",1.5,2019-02-20
"7143","Loyola (IL)","Evansville",-11,2019-02-20
"7144","Evansville","Loyola (IL)",11,2019-02-20
"7145","Memphis","Tulane",-18,2019-02-20
"7146","Tulane","Memphis",18,2019-02-20
"7147","Syracuse","Louisville",-1,2019-02-20
"7148","Louisville","Syracuse",1,2019-02-20
"7149","North Carolina State","Boston College",-10.5,2019-02-20
"7150","Boston College","North Carolina State",10.5,2019-02-20
"7151","Richmond","Fordham",-7,2019-02-20
"7152","Fordham","Richmond",7,2019-02-20
"7153","George Washington","Massachusetts",1,2019-02-20
"7154","Massachusetts","George Washington",-1,2019-02-20
"7155","Seton Hall","Xavier",-6.5,2019-02-20
"7156","Xavier","Seton Hall",6.5,2019-02-20
"7157","St. Bonaventure","La Salle",-8,2019-02-20
"7158","La Salle","St. Bonaventure",8,2019-02-20
"7159","Lafayette","American University",1.5,2019-02-20
"7160","American University","Lafayette",-1.5,2019-02-20
"7161","Florida Gulf Coast","Lipscomb",13,2019-02-20
"7162","Lipscomb","Florida Gulf Coast",-13,2019-02-20
"7163","N.J.I.T.","Stetson",-14,2019-02-20
"7164","Stetson","N.J.I.T.",14,2019-02-20
"7165","Kennesaw State","North Alabama",2,2019-02-20
"7166","North Alabama","Kennesaw State",-2,2019-02-20
"7167","Lehigh","Army",-9,2019-02-20
"7168","Army","Lehigh",9,2019-02-20
"7169","Jacksonville","North Florida",-1,2019-02-20
"7170","North Florida","Jacksonville",1,2019-02-20
"7171","McNeese State","Central Arkansas",-1,2019-02-20
"7172","Central Arkansas","McNeese State",1,2019-02-20
"7173","Stephen F. Austin","Texas A&M-CC",-2,2019-02-20
"7174","Texas A&M-CC","Stephen F. Austin",2,2019-02-20
"7175","Sam Houston State","Nicholls State",-15,2019-02-20
"7176","Nicholls State","Sam Houston State",15,2019-02-20
"7177","Valparaiso","Southern Illinois",-110,2019-02-20
"7178","Southern Illinois","Valparaiso",NA,2019-02-20
"7179","Missouri State","Northern Iowa",-110,2019-02-20
"7180","Northern Iowa","Missouri State",-110,2019-02-20
"7181","South Dakota","Denver",-110,2019-02-20
"7182","Denver","South Dakota",-110,2019-02-20
"7183","Nebraska-Omaha","Western Illinois",-110,2019-02-20
"7184","Western Illinois","Nebraska-Omaha",-110,2019-02-20
"7185","New Orleans","Southeastern Louisiana",-120,2019-02-20
"7186","Southeastern Louisiana","New Orleans",-120,2019-02-20
"7187","Houston Baptist","Northwestern State",-120,2019-02-20
"7188","Northwestern State","Houston Baptist",-120,2019-02-20
"7189","Incarnate Word","Lamar",-120,2019-02-20
"7190","Lamar","Incarnate Word",-120,2019-02-20
"7191","Auburn","Arkansas",-110,2019-02-20
"7192","Arkansas","Auburn",-110,2019-02-20
"7193","Ohio State","Northwestern",-110,2019-02-20
"7194","Northwestern","Ohio State",-110,2019-02-20
"7195","Providence","St. John's",-110,2019-02-20
"7196","St. John's","Providence",-110,2019-02-20
"7197","Georgia Tech","Pittsburgh",-110,2019-02-20
"7198","Pittsburgh","Georgia Tech",-110,2019-02-20
"7199","Duke","North Carolina",-110,2019-02-20
"7200","North Carolina","Duke",-110,2019-02-20
"7201","Marquette","Butler",-110,2019-02-20
"7202","Butler","Marquette",-110,2019-02-20
"7203","DePaul","Creighton",4,2019-02-20
"7204","Creighton","DePaul",NA,2019-02-20
"7205","Tulsa","Wichita State",7,2019-02-20
"7206","Wichita State","Tulsa",-4,2019-02-20
"7207","Arizona State","Stanford",-9,2019-02-20
"7208","Stanford","Arizona State",-7,2019-02-20
"7209","San Jose State","Colorado State",15,2019-02-20
"7210","Colorado State","San Jose State",9,2019-02-20
"7211","Fresno State","Air Force",5,2019-02-20
"7212","Air Force","Fresno State",-15,2019-02-20
"7213","Long Beach State","Cal State Northridge",-4,2019-02-20
"7214","Cal State Northridge","Long Beach State",-5,2019-02-20
"7215","Washington State","Colorado",14,2019-02-20
"7216","Colorado","Washington State",4,2019-02-20
"7217","Utah State","New Mexico",9,2019-02-20
"7218","New Mexico","Utah State",-14,2019-02-20
"7219","Washington","Utah",-8,2019-02-20
"7220","Utah","Washington",-9,2019-02-20
"7221","San Diego State","Nevada",5,2019-02-20
"7222","Nevada","San Diego State",8,2019-02-20
"7223","Loyola (MD)","Navy",-5.5,2019-02-20
"7224","Navy","Loyola (MD)",-5,2019-02-20
"7225","Loyola (MD)","Navy",-4,2019-02-21
"7226","Navy","Loyola (MD)",4,2019-02-21
"7227","Cincinnati","UCF",-8,2019-02-21
"7228","UCF","Cincinnati",8,2019-02-21
"7229","Appalachian State","Georgia State",2,2019-02-21
"7230","Georgia State","Appalachian State",-2,2019-02-21
"7231","Wright State","Cleveland State",-12.5,2019-02-21
"7232","Cleveland State","Wright State",12.5,2019-02-21
"7233","Minnesota","Michigan",4.5,2019-02-21
"7234","Michigan","Minnesota",-4.5,2019-02-21
"7235","Elon","NC-Wilmington",-110,2019-02-21
"7236","NC-Wilmington","Elon",NA,2019-02-21
"7237","Northeastern","James Madison",-110,2019-02-21
"7238","James Madison","Northeastern",-110,2019-02-21
"7239","Northern Kentucky","Youngstown State",-110,2019-02-21
"7240","Youngstown State","Northern Kentucky",-110,2019-02-21
"7241","Hofstra","Towson",-110,2019-02-21
"7242","Towson","Hofstra",-110,2019-02-21
"7243","William & Mary","Charleston",-110,2019-02-21
"7244","Charleston","William & Mary",-110,2019-02-21
"7245","Coastal Carolina","Georgia Southern",-110,2019-02-21
"7246","Georgia Southern","Coastal Carolina",-110,2019-02-21
"7247","Virginia Military","East Tennessee State",-110,2019-02-21
"7248","East Tennessee State","Virginia Military",-110,2019-02-21
"7249","UNC Greensboro","Western Carolina",-110,2019-02-21
"7250","Western Carolina","UNC Greensboro",-110,2019-02-21
"7251","Citadel","Chattanooga",-110,2019-02-21
"7252","Chattanooga","Citadel",-110,2019-02-21
"7253","Mercer","Samford",-110,2019-02-21
"7254","Samford","Mercer",-110,2019-02-21
"7255","St. Francis (PA)","St. Francis (BKN)",-120,2019-02-21
"7256","St. Francis (BKN)","St. Francis (PA)",-120,2019-02-21
"7257","Fairleigh Dickinson","Sacred Heart",-120,2019-02-21
"7258","Sacred Heart","Fairleigh Dickinson",-120,2019-02-21
"7259","Radford","Winthrop",-120,2019-02-21
"7260","Winthrop","Radford",-120,2019-02-21
"7261","Hampton","Longwood",-120,2019-02-21
"7262","Longwood","Hampton",-120,2019-02-21
"7263","Stony Brook","Albany",-120,2019-02-21
"7264","Albany","Stony Brook",-120,2019-02-21
"7265","Central Connecticut State","Mount St. Mary's",-120,2019-02-21
"7266","Mount St. Mary's","Central Connecticut State",-120,2019-02-21
"7267","UNC Asheville","Gardner-Webb",-120,2019-02-21
"7268","Gardner-Webb","UNC Asheville",-120,2019-02-21
"7269","Massachusetts-Lowell","Binghamton",-120,2019-02-21
"7270","Binghamton","Massachusetts-Lowell",-120,2019-02-21
"7271","UMBC","Vermont",-120,2019-02-21
"7272","Vermont","UMBC",-120,2019-02-21
"7273","Bryant University","Wagner",-120,2019-02-21
"7274","Wagner","Bryant University",-120,2019-02-21
"7275","Robert Morris","LIU Brooklyn",-120,2019-02-21
"7276","LIU Brooklyn","Robert Morris",-120,2019-02-21
"7277","New Hampshire","Hartford",-120,2019-02-21
"7278","Hartford","New Hampshire",-120,2019-02-21
"7279","Charleston Southern","USC Upstate",-120,2019-02-21
"7280","USC Upstate","Charleston Southern",-120,2019-02-21
"7281","Texas State","Louisiana-Monroe",-110,2019-02-21
"7282","Louisiana-Monroe","Texas State",-110,2019-02-21
"7283","Texas-Arlington","Louisiana-Lafayette",-110,2019-02-21
"7284","Louisiana-Lafayette","Texas-Arlington",-110,2019-02-21
"7285","Murray State","Tennessee-Martin",-110,2019-02-21
"7286","Tennessee-Martin","Murray State",-110,2019-02-21
"7287","Belmont","Eastern Illinois",-110,2019-02-21
"7288","Eastern Illinois","Belmont",-110,2019-02-21
"7289","South Dakota State","Purdue Fort Wayne",-110,2019-02-21
"7290","Purdue Fort Wayne","South Dakota State",-110,2019-02-21
"7291","Austin Peay","Southeast Missouri State",-110,2019-02-21
"7292","Southeast Missouri State","Austin Peay",-110,2019-02-21
"7293","Jacksonville State","Morehead State",-110,2019-02-21
"7294","Morehead State","Jacksonville State",-110,2019-02-21
"7295","Tennessee Tech","Eastern Kentucky",-110,2019-02-21
"7296","Eastern Kentucky","Tennessee Tech",-110,2019-02-21
"7297","Tennessee State","SIU-Edwardsville",-110,2019-02-21
"7298","SIU-Edwardsville","Tennessee State",-110,2019-02-21
"7299","Northern Arizona","Idaho",-110,2019-02-21
"7300","Idaho","Northern Arizona",-110,2019-02-21
"7301","Southern Utah","Eastern Washington",-110,2019-02-21
"7302","Eastern Washington","Southern Utah",-110,2019-02-21
"7303","BYU","San Francisco",-110,2019-02-21
"7304","San Francisco","BYU",-110,2019-02-21
"7305","Gonzaga","Pepperdine",-110,2019-02-21
"7306","Pepperdine","Gonzaga",-110,2019-02-21
"7307","USC","Oregon",-110,2019-02-21
"7308","Oregon","USC",-110,2019-02-21
"7309","Arizona","California",-110,2019-02-21
"7310","California","Arizona",-110,2019-02-21
"7311","SMU","Connecticut",-110,2019-02-21
"7312","Connecticut","SMU",-110,2019-02-21
"7313","Utah Valley","Chicago State",-120,2019-02-21
"7314","Chicago State","Utah Valley",-120,2019-02-21
"7315","Campbell","High Point",-120,2019-02-21
"7316","High Point","Campbell",-120,2019-02-21
"7317","Grand Canyon","California Baptist",-120,2019-02-21
"7318","California Baptist","Grand Canyon",-120,2019-02-21
"7319","Pacific","Saint Mary's",-110,2019-02-21
"7320","Saint Mary's","Pacific",-110,2019-02-21
"7321","San Diego","Portland",-110,2019-02-21
"7322","Portland","San Diego",-110,2019-02-21
"7323","UC Irvine","Cal Poly",-110,2019-02-21
"7324","Cal Poly","UC Irvine",-110,2019-02-21
"7325","Seattle","UMKC",-120,2019-02-21
"7326","UMKC","Seattle",-120,2019-02-21
"7327","Sacramento State","Weber State",-110,2019-02-21
"7328","Weber State","Sacramento State",-110,2019-02-21
"7329","Portland State","Idaho State",-110,2019-02-21
"7330","Idaho State","Portland State",-110,2019-02-21
"7331","Cal State Fullerton","UC Davis",-110,2019-02-21
"7332","UC Davis","Cal State Fullerton",-110,2019-02-21
"7333","UC Santa Barbara","Hawaii",-110,2019-02-21
"7334","Hawaii","UC Santa Barbara",-110,2019-02-21
"7335","UCLA","Oregon State",-110,2019-02-21
"7336","Oregon State","UCLA",-110,2019-02-21
"7337","Ohio","Bowling Green",5,2019-02-22
"7338","Bowling Green","Ohio",-5,2019-02-22
"7339","IUPUI","Milwaukee",-9,2019-02-22
"7340","Milwaukee","IUPUI",9,2019-02-22
"7341","Brown","Harvard",1,2019-02-22
"7342","Harvard","Brown",-1,2019-02-22
"7343","Yale","Dartmouth",-10.5,2019-02-22
"7344","Dartmouth","Yale",10.5,2019-02-22
"7345","Manhattan","Iona",3,2019-02-22
"7346","Iona","Manhattan",-3,2019-02-22
"7347","Marist","St. Peter's",-7.5,2019-02-22
"7348","St. Peter's","Marist",7.5,2019-02-22
"7349","Monmouth","Canisius",-3,2019-02-22
"7350","Canisius","Monmouth",3,2019-02-22
"7351","Rider","Niagara",-8.5,2019-02-22
"7352","Niagara","Rider",8.5,2019-02-22
"7353","Buffalo","Kent State",-15.5,2019-02-22
"7354","Kent State","Buffalo",15.5,2019-02-22
"7355","Princeton","Cornell",-6.5,2019-02-22
"7356","Cornell","Princeton",6.5,2019-02-22
"7357","Pennsylvania","Columbia",-6.5,2019-02-22
"7358","Columbia","Pennsylvania",6.5,2019-02-22
"7359","Illinois-Chicago","Green Bay",-4.5,2019-02-22
"7360","Green Bay","Illinois-Chicago",4.5,2019-02-22
"7361","Rhode Island","Davidson",2,2019-02-22
"7362","Davidson","Rhode Island",-2,2019-02-22
"7363","Iowa","Indiana",-6.5,2019-02-22
"7364","Indiana","Iowa",6.5,2019-02-22
"7365","Ohio","Bowling Green",5,2019-02-22
"7366","Bowling Green","Ohio",-5,2019-02-22
"7367","IUPUI","Milwaukee",-9,2019-02-22
"7368","Milwaukee","IUPUI",9,2019-02-22
"7369","Brown","Harvard",1,2019-02-22
"7370","Harvard","Brown",-1,2019-02-22
"7371","Yale","Dartmouth",-10.5,2019-02-22
"7372","Dartmouth","Yale",10.5,2019-02-22
"7373","Manhattan","Iona",3,2019-02-22
"7374","Iona","Manhattan",-3,2019-02-22
"7375","Marist","St. Peter's",-7.5,2019-02-22
"7376","St. Peter's","Marist",7.5,2019-02-22
"7377","Monmouth","Canisius",-3,2019-02-22
"7378","Canisius","Monmouth",3,2019-02-22
"7379","Rider","Niagara",-8.5,2019-02-22
"7380","Niagara","Rider",8.5,2019-02-22
"7381","Buffalo","Kent State",-15.5,2019-02-22
"7382","Kent State","Buffalo",15.5,2019-02-22
"7383","Princeton","Cornell",-6.5,2019-02-22
"7384","Cornell","Princeton",6.5,2019-02-22
"7385","Pennsylvania","Columbia",-6.5,2019-02-22
"7386","Columbia","Pennsylvania",6.5,2019-02-22
"7387","Illinois-Chicago","Green Bay",-4.5,2019-02-22
"7388","Green Bay","Illinois-Chicago",4.5,2019-02-22
"7389","Rhode Island","Davidson",2,2019-02-22
"7390","Davidson","Rhode Island",-2,2019-02-22
"7391","Iowa","Indiana",-6.5,2019-02-22
"7392","Indiana","Iowa",6.5,2019-02-22
"7393","UCF","SMU",-7.5,2019-02-24
"7394","SMU","UCF",7.5,2019-02-24
"7395","Lehigh","Holy Cross",-8,2019-02-24
"7396","Holy Cross","Lehigh",8,2019-02-24
"7397","IUPUI","Green Bay",-5,2019-02-24
"7398","Green Bay","IUPUI",5,2019-02-24
"7399","Iona","Canisius",-6.5,2019-02-24
"7400","Canisius","Iona",6.5,2019-02-24
"7401","Army","American University",-1,2019-02-24
"7402","American University","Army",1,2019-02-24
"7403","Xavier","Villanova",5.5,2019-02-24
"7404","Villanova","Xavier",-5.5,2019-02-24
"7405","Illinois State","Drake",-1,2019-02-24
"7406","Drake","Illinois State",1,2019-02-24
"7407","Connecticut","Cincinnati",5,2019-02-24
"7408","Cincinnati","Connecticut",-5,2019-02-24
"7409","St. Peter's","Niagara",-1.5,2019-02-24
"7410","Niagara","St. Peter's",1.5,2019-02-24
"7411","Siena","Marist",-3.5,2019-02-24
"7412","Marist","Siena",3.5,2019-02-24
"7413","Monmouth","Quinnipiac",-1,2019-02-24
"7414","Quinnipiac","Monmouth",1,2019-02-24
"7415","Bucknell","Lafayette",-12,2019-02-24
"7416","Lafayette","Bucknell",12,2019-02-24
"7417","UNC Greensboro","East Tennessee State",-1.5,2019-02-24
"7418","East Tennessee State","UNC Greensboro",1.5,2019-02-24
"7419","Fairfield","Manhattan",-5,2019-02-24
"7420","Manhattan","Fairfield",5,2019-02-24
"7421","Michigan","Michigan State",-4,2019-02-24
"7422","Michigan State","Michigan",4,2019-02-24
"7423","Southern Illinois","Loyola (IL)",-1,2019-02-24
"7424","Loyola (IL)","Southern Illinois",1,2019-02-24
"7425","Illinois-Chicago","Milwaukee",-8.5,2019-02-24
"7426","Milwaukee","Illinois-Chicago",8.5,2019-02-24
"7427","Arizona State","California",-18.5,2019-02-24
"7428","California","Arizona State",18.5,2019-02-24
"7429","North Carolina State","Wake Forest",-15,2019-02-24
"7430","Wake Forest","North Carolina State",15,2019-02-24
"7431","Rutgers","Minnesota",-110,2019-02-24
"7432","Minnesota","Rutgers",NA,2019-02-24
