"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"41","November 10, 2017","Alabama State","Away","Mississippi State","68","25","67",".373","7","26",".269","11","22",".500","13","26","39","8","15","6","1","26"
"42","November 10, 2017","Mississippi State","Home","Alabama State","96","31","64",".484","7","20",".350","27","35",".771","11","33","44","16","14","7","4","19"
"43","November 10, 2017","Alcorn State","Away","LSU","59","23","59",".390","4","24",".167","9","13",".692","10","14","24","7","15","4","2","18"
"44","November 10, 2017","LSU","Home","Alcorn State","99","36","59",".610","11","19",".579","16","24",".667","9","24","33","18","7","12","6","16"
"45","November 10, 2017","American","Away","Kansas State","45","17","56",".304","8","31",".258","3","4",".750","8","14","22","9","17","9","1","15"
"46","November 10, 2017","Kansas State","Home","American","83","29","53",".547","12","22",".545","13","21",".619","12","28","40","22","17","8","4","11"
"47","November 10, 2017","Antelope Valley","Away","San Jose State","45","16","65",".246","3","21",".143","10","13",".769","8","20","28","8","18","4","0","22"
"48","November 10, 2017","San Jose State","Home","Antelope Valley","97","34","65",".523","9","18",".500","20","27",".741","13","37","50","30","15","10","4","16"
"49","November 10, 2017","Arkansas-Pine Bluff","Away","Hawaii","70","21","57",".368","10","26",".385","18","24",".750","8","17","25","10","14","10","3","33"
"50","November 10, 2017","Hawaii","Home","Arkansas-Pine Bluff","82","25","51",".490","4","20",".200","28","42",".667","9","27","36","20","15","7","2","17"
"51","November 10, 2017","Arkansas State","Away","Evansville","63","23","59",".390","5","19",".263","12","15",".800","10","21","31","8","16","7","4","27"
"52","November 10, 2017","Evansville","Home","Arkansas State","77","24","51",".471","5","16",".313","24","31",".774","10","23","33","16","12","9","6","18"
"53","November 10, 2017","Army","Away","Hofstra","74","30","65",".462","8","27",".296","6","11",".545","9","20","29","17","12","6","1","22"
"54","November 10, 2017","Hofstra","Home","Army","77","25","63",".397","8","28",".286","19","21",".905","14","26","40","15","14","3","1","16"
"55","November 10, 2017","Austin Peay","Away","Vanderbilt","54","22","54",".407","3","13",".231","7","12",".583","7","18","25","11","15","5","1","20"
"56","November 10, 2017","Vanderbilt","Home","Austin Peay","73","26","58",".448","9","25",".360","12","19",".632","15","21","36","17","14","8","6","16"
"57","November 10, 2017","Avila","Away","Oral Roberts","72","26","60",".433","10","24",".417","10","18",".556","7","24","31","13","16","4","1","18"
"58","November 10, 2017","Oral Roberts","Home","Avila","86","35","75",".467","5","18",".278","11","20",".550","18","29","47","13","10","11","5","18"
"59","November 10, 2017","Ball State","Away","Dayton","77","31","67",".463","9","27",".333","6","8",".750","6","28","34","15","12","4","3","19"
"60","November 10, 2017","Dayton","Home","Ball State","78","28","58",".483","4","16",".250","18","23",".783","7","29","36","14","11","5","2","15"
"61","November 10, 2017","Belmont","Away","Washington","82","32","65",".492","10","31",".323","8","12",".667","7","19","26","20","16","4","4","27"
